sentence_id	sentence	sentence_domain	source
01249862b49a26e0c24f696fb78cc3e0c75d7d22ea26a65bb3ca7c8005b806d7	"""Ale poco się śpieszyć, czyto nie lepiej zobaczyć, co za człowiek jest?"""		https://pl.wikisource.org/wiki/Potop_(Sienkiewicz)/Tom_I/ca%C5%82o%C5%9B%C4%87
016b5617aac26303701f084e5dfa79ec2ba920661ac35b3d3e6424b4fc393625	"""Daniel pokarmem  Wzgardził, lecz za to zyskał wiedzę wielką."""		https://pl.wikisource.org/wiki/Boska_Komedia_(Stanis%C5%82awski)/ca%C5%82o%C5%9B%C4%87
02a668b212e9d94200ed68c4af7bb196b45b8f4938e2962e0b5b57791d8224df	"""ona przyjmie to z wdzięcznością, bo nie codzień zdarza się jej podobna sposobność."""		https://pl.wikisource.org/wiki/Benvenuto_Cellini_(1893)/Tom_III
02ac7400a929b8beb0b43de08cb68c55e33c5c8b089be9264c562d49eb9c5351	"""„Leciał jak ptak i nagle utknął; zabrakło w nim motoru."""		https://pl.wikisource.org/wiki/Lalka_(Prus)/ca%C5%82o%C5%9B%C4%87
0350179ecd41497896c268f9946ebf85321a1f7bfc1651ec3a2d0edb19f90344	Temperaturę		own
0352eb8eba99e70a889e31bf44bc9411465d03cfc6d1b37a45c800892c767834	"""Sam się, nieborak, zwał starym »Les« i odmieniał ten strzępek przez przypadki."""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
06e655cca7a50877610c397698b0f9f53b6f5df8f339893720d7cd3d018f8ab6	"""Było i jest rzeczą wiadomą, że początki praktyki i t. d."""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
0726ca7b567a1316de658815d4d223894ed96164adeec3b80184ed4b091f1fd5	Wącham marihuanę i palę klej.		I have created these sentences myself and to the extent possible under law, I have dedicated all copyright and related and neighboring rights to these sentences to the public domain worldwide, using the the CC0 Public Domain Dedication (https://creativecommons.org/publicdomain/zero/1.0/).
072bb0973ebfc85e506a13804fa7b5dd4abc69af9699ba23dbf81ea34c00dc1d	"""Nazywa się: doktór Judym."""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
0805da9be4a9488d5cdfa275294b9a3d4e035415e073ab038a3867ca9410b5f5	"""nic nie było widać!"""		https://pl.wikisource.org/wiki/Kr%C3%B3lowa_%C5%9Aniegu_(Andersen,_przek%C5%82._Matuszewski)
08742c998990b44f5124b937c892df04e62f7dd0f3eac09e0dd8b3ab5d9ea3fb	"""Gdy już salon i przyległe gabinety napełniły się zupełnie, dr."""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
0926c583757898045686cdfda1732879528f18c0ddd1e5d6c5e178c29ea9d38d	"""Nie do tego dążył, żeby został grajkiem na wsi."""		https://pl.wikisource.org/wiki/Tylko_grajek/ca%C5%82o%C5%9B%C4%87
0932f0b36b280158a1999f9642f4df9ca8abcfa551ab59e82317aba5cfa309cf	"""Żołnierze podobni byli najdokładniej do siebie, jeden się tylko różnił od reszty."""		https://pl.wikisource.org/wiki/Czerwony_Kapturek_i_inne_bajki/ca%C5%82o%C5%9B%C4%87
093614fdc8382b5d9165c1898135d9f276f4282631e7c058a4b0537b17c96c5e	"""Wnet jednakże zapanowała nad sobą."""		https://pl.wikisource.org/wiki/Lalka_(Prus)/ca%C5%82o%C5%9B%C4%87
0940c3b6d6ec4f3178ff7be40f0970c5cfdc8d94267c32aead8d23f2659d00c8	"""Nie mogę sobie dać rady!"""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
095947615ee71a0bafda775424999f3381ecc629ec5941b9ffb69281932940cb	"""Dokądże tedy idę jutro?"""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
0962a20f89d94d85983bcf8a4bf8d36e064c162eaa430fa2506ddce7810360d3	"""Bryczka wtoczyła się na polankę."""		https://pl.wikisource.org/wiki/Ludzie_bezdomni/Ca%C5%82o%C5%9B%C4%87
